ticker,date,time,open,high,low,close,vol
XAUUSD,20220608,000000,1849,1849.1,1849,1849,4
XAUUSD,20220608,000100,1849.1,1849.3,1849,1849.3,4
XAUUSD,20220608,000200,1849.4,1849.4,1849.2,1849.3,4
XAUUSD,20220608,000300,1849.2,1849.7,1849.2,1849.6,4
XAUUSD,20220608,000400,1849.7,1849.8,1849.7,1849.7,4
XAUUSD,20220608,000500,1849.8,1849.9,1849.7,1849.9,4
XAUUSD,20220608,000600,1849.8,1849.9,1849.7,1849.7,4
XAUUSD,20220608,000700,1849.8,1849.9,1849.8,1849.9,4
XAUUSD,20220608,000800,1850,1850.3,1850,1850.3,4
XAUUSD,20220608,000900,1850.2,1850.2,1849.5,1849.6,4
XAUUSD,20220608,001000,1849.5,1849.5,1849.2,1849.2,4
XAUUSD,20220608,001100,1849.3,1849.4,1849.3,1849.4,4
XAUUSD,20220608,001200,1849.4,1849.4,1849.4,1849.4,4
XAUUSD,20220608,001300,1849.3,1849.4,1849.3,1849.4,4
XAUUSD,20220608,001400,1849.3,1849.3,1849.3,1849.3,4
XAUUSD,20220608,001500,1849.3,1849.3,1849.1,1849.2,4
XAUUSD,20220608,001600,1849.1,1849.3,1849.1,1849.2,4
XAUUSD,20220608,001700,1849.2,1849.2,1849,1849,4
XAUUSD,20220608,001800,1848.9,1848.9,1848.7,1848.9,4
XAUUSD,20220608,001900,1849,1849.7,1849,1849.6,4
XAUUSD,20220608,002000,1849.5,1849.6,1849.5,1849.5,4
XAUUSD,20220608,002100,1849.4,1849.7,1849.4,1849.7,4
XAUUSD,20220608,002200,1849.6,1849.7,1849.5,1849.5,4
XAUUSD,20220608,002300,1849.4,1849.5,1849.4,1849.5,4
XAUUSD,20220608,002400,1849.4,1849.4,1849.3,1849.4,4
XAUUSD,20220608,002500,1849.4,1849.4,1849.4,1849.4,4
XAUUSD,20220608,002600,1849.5,1849.6,1849.5,1849.6,4
XAUUSD,20220608,002700,1849.7,1849.9,1849.7,1849.7,4
XAUUSD,20220608,002800,1849.7,1849.7,1849.5,1849.5,4
XAUUSD,20220608,002900,1849.4,1849.4,1849.2,1849.2,4
XAUUSD,20220608,003000,1849.1,1849.2,1849.1,1849.2,4
XAUUSD,20220608,003100,1849.3,1849.3,1849.2,1849.3,4
XAUUSD,20220608,003200,1849.2,1849.2,1849.1,1849.1,4
XAUUSD,20220608,003300,1849,1849.2,1849,1849.2,4
XAUUSD,20220608,003400,1849.3,1849.4,1849.2,1849.4,4
XAUUSD,20220608,003500,1849.3,1849.4,1849.2,1849.2,4
XAUUSD,20220608,003600,1849.3,1849.7,1849.3,1849.7,4
XAUUSD,20220608,003700,1849.6,1849.7,1849.6,1849.7,4
XAUUSD,20220608,003800,1849.6,1849.7,1849.6,1849.6,4
XAUUSD,20220608,003900,1849.7,1849.9,1849.7,1849.9,4
XAUUSD,20220608,004000,1850,1850,1849.7,1849.7,4
XAUUSD,20220608,004100,1849.8,1849.8,1849.6,1849.6,4
XAUUSD,20220608,004200,1849.5,1849.6,1849.5,1849.6,4
XAUUSD,20220608,004300,1849.5,1849.5,1849.4,1849.4,4
XAUUSD,20220608,004400,1849.4,1849.4,1849.4,1849.4,4
XAUUSD,20220608,004500,1849.5,1849.7,1849.5,1849.7,4
XAUUSD,20220608,004600,1849.8,1849.8,1849.5,1849.5,4
XAUUSD,20220608,004700,1849.5,1849.5,1849.5,1849.5,4
XAUUSD,20220608,004800,1849.6,1849.7,1849.6,1849.7,4
XAUUSD,20220608,004900,1849.7,1849.8,1849.7,1849.7,4
XAUUSD,20220608,005000,1849.6,1849.6,1849.3,1849.5,4
XAUUSD,20220608,005100,1849.4,1849.5,1849.4,1849.5,4
XAUUSD,20220608,005200,1849.4,1849.5,1849.4,1849.5,4
XAUUSD,20220608,005300,1849.4,1849.4,1849.3,1849.3,4
XAUUSD,20220608,005400,1849.2,1849.3,1849.1,1849.3,4
XAUUSD,20220608,005500,1849.2,1849.2,1849,1849,4
XAUUSD,20220608,005600,1848.9,1849.2,1848.9,1849.1,4
XAUUSD,20220608,005700,1849,1849,1848.8,1848.8,4
XAUUSD,20220608,005800,1848.9,1848.9,1848.8,1848.8,4
XAUUSD,20220608,005900,1848.7,1848.7,1848.6,1848.7,4
XAUUSD,20220608,010000,1848.8,1848.8,1848.8,1848.8,4
XAUUSD,20220608,010100,1848.7,1848.7,1848.5,1848.6,4
XAUUSD,20220608,010200,1848.7,1848.7,1848.7,1848.7,4
XAUUSD,20220608,010300,1848.6,1848.8,1848.6,1848.6,4
XAUUSD,20220608,010400,1848.5,1848.5,1848.4,1848.4,4
XAUUSD,20220608,010500,1848.5,1848.5,1848.4,1848.5,4
XAUUSD,20220608,010600,1848.4,1848.6,1848.4,1848.6,4
XAUUSD,20220608,010700,1848.5,1848.6,1848.5,1848.6,4
XAUUSD,20220608,010800,1848.5,1848.5,1848.4,1848.5,4
XAUUSD,20220608,010900,1848.4,1848.4,1848.1,1848.1,4
XAUUSD,20220608,011000,1848.2,1848.2,1847.9,1847.9,4
XAUUSD,20220608,011100,1847.8,1847.8,1847.8,1847.8,4
XAUUSD,20220608,011200,1847.7,1848.1,1847.7,1848,4
XAUUSD,20220608,011300,1847.9,1847.9,1847.6,1847.6,4
XAUUSD,20220608,011400,1847.7,1847.7,1847.4,1847.4,4
XAUUSD,20220608,011500,1847.3,1847.4,1847.3,1847.3,4
XAUUSD,20220608,011600,1847.4,1847.8,1847.4,1847.8,4
XAUUSD,20220608,011700,1847.7,1848,1847.7,1848,4
XAUUSD,20220608,011800,1847.9,1847.9,1847.8,1847.8,4
XAUUSD,20220608,011900,1847.7,1847.8,1847.6,1847.8,4
XAUUSD,20220608,012000,1847.7,1847.7,1847.5,1847.5,4
XAUUSD,20220608,012100,1847.6,1847.7,1847.6,1847.6,4
XAUUSD,20220608,012200,1847.7,1847.8,1847.7,1847.8,4
XAUUSD,20220608,012300,1847.7,1847.7,1847.5,1847.5,4
XAUUSD,20220608,012400,1847.6,1847.9,1847.6,1847.7,4
XAUUSD,20220608,012500,1847.8,1847.9,1847.7,1847.8,4
XAUUSD,20220608,012600,1847.7,1847.7,1847.4,1847.4,4
XAUUSD,20220608,012700,1847.3,1847.3,1847.2,1847.2,4
XAUUSD,20220608,012800,1847.3,1847.3,1847.3,1847.3,4
XAUUSD,20220608,012900,1847.2,1847.2,1847.2,1847.2,4
XAUUSD,20220608,013000,1847.2,1847.2,1847.2,1847.2,4
XAUUSD,20220608,013100,1847.1,1847.3,1847.1,1847.1,4
XAUUSD,20220608,013200,1847.2,1847.3,1847.1,1847.3,4
XAUUSD,20220608,013300,1847.2,1847.3,1847.1,1847.2,4
XAUUSD,20220608,013400,1847.1,1847.1,1847.1,1847.1,4
XAUUSD,20220608,013500,1847.1,1847.2,1847,1847.1,4
XAUUSD,20220608,013600,1847,1847.1,1847,1847,4
XAUUSD,20220608,013700,1847.1,1847.2,1847.1,1847.2,4
XAUUSD,20220608,013800,1847.3,1847.4,1847.3,1847.3,4
XAUUSD,20220608,013900,1847.3,1847.3,1847.2,1847.2,4
XAUUSD,20220608,014000,1847.1,1847.1,1847.1,1847.1,4
XAUUSD,20220608,014100,1847.2,1847.2,1847.1,1847.1,4
XAUUSD,20220608,014200,1847,1847,1846.9,1846.9,4
XAUUSD,20220608,014300,1846.9,1846.9,1846.9,1846.9,4
XAUUSD,20220608,014400,1847,1847,1846.8,1846.8,4
XAUUSD,20220608,014500,1846.7,1846.8,1846.7,1846.8,4
XAUUSD,20220608,014600,1846.7,1846.8,1846.7,1846.7,4
XAUUSD,20220608,014700,1846.7,1846.7,1846.7,1846.7,4
XAUUSD,20220608,014800,1846.6,1846.7,1846.6,1846.7,4
XAUUSD,20220608,014900,1846.6,1846.7,1846.6,1846.7,4
XAUUSD,20220608,015000,1846.6,1846.7,1846.6,1846.7,4
XAUUSD,20220608,015100,1846.6,1846.7,1846.5,1846.7,4
XAUUSD,20220608,015200,1846.6,1846.7,1846.6,1846.6,4
XAUUSD,20220608,015300,1846.7,1846.7,1846.6,1846.7,4
XAUUSD,20220608,015400,1846.6,1846.8,1846.6,1846.8,4
XAUUSD,20220608,015500,1846.9,1846.9,1846.8,1846.8,4
XAUUSD,20220608,015600,1846.7,1846.7,1846.6,1846.6,4
XAUUSD,20220608,015700,1846.6,1846.8,1846.6,1846.8,4
XAUUSD,20220608,015800,1846.7,1846.7,1846.5,1846.5,4
XAUUSD,20220608,015900,1846.6,1846.6,1846.5,1846.6,4
XAUUSD,20220608,020000,1846.7,1846.7,1846.6,1846.6,4
XAUUSD,20220608,020100,1846.5,1846.5,1846.2,1846.4,4
XAUUSD,20220608,020200,1846.3,1846.3,1846.3,1846.3,4
XAUUSD,20220608,020300,1846.3,1846.3,1846.2,1846.2,4
XAUUSD,20220608,020400,1846.2,1846.2,1846.1,1846.1,4
XAUUSD,20220608,020500,1846,1846.1,1845.8,1846.1,4
XAUUSD,20220608,020600,1846.2,1846.2,1846.1,1846.2,4
XAUUSD,20220608,020700,1846.3,1846.3,1846.2,1846.2,4
XAUUSD,20220608,020800,1846.2,1846.2,1846.1,1846.1,4
XAUUSD,20220608,020900,1846,1846.1,1846,1846.1,4
XAUUSD,20220608,021000,1846,1846.1,1846,1846.1,4
XAUUSD,20220608,021100,1846,1846,1845.9,1846,4
XAUUSD,20220608,021200,1845.9,1845.9,1845.7,1845.8,4
XAUUSD,20220608,021300,1845.7,1845.7,1845.6,1845.6,4
XAUUSD,20220608,021400,1845.5,1845.7,1845.5,1845.7,4
XAUUSD,20220608,021500,1845.8,1846.1,1845.8,1846.1,4
XAUUSD,20220608,021600,1846.2,1846.2,1846.1,1846.2,4
XAUUSD,20220608,021700,1846.3,1846.4,1846.3,1846.4,4
XAUUSD,20220608,021800,1846.4,1846.4,1846.4,1846.4,4
XAUUSD,20220608,021900,1846.4,1846.9,1846.4,1846.9,4
XAUUSD,20220608,022000,1846.9,1847,1846.9,1846.9,4
XAUUSD,20220608,022100,1846.8,1847,1846.8,1847,4
XAUUSD,20220608,022200,1847.1,1847.3,1847.1,1847.3,4
XAUUSD,20220608,022300,1847.2,1847.3,1847.2,1847.3,4
XAUUSD,20220608,022400,1847.4,1847.4,1847.4,1847.4,4
XAUUSD,20220608,022500,1847.4,1847.4,1847.3,1847.4,4
XAUUSD,20220608,022600,1847.4,1847.4,1847.3,1847.3,4
XAUUSD,20220608,022700,1847.3,1847.4,1847.3,1847.4,4
XAUUSD,20220608,022800,1847.3,1847.3,1847.2,1847.2,4
XAUUSD,20220608,022900,1847.2,1847.2,1847.2,1847.2,4
XAUUSD,20220608,023000,1847.3,1847.4,1847.3,1847.3,4
XAUUSD,20220608,023100,1847.2,1847.2,1847.2,1847.2,4
XAUUSD,20220608,023200,1847.2,1847.2,1846.9,1846.9,4
XAUUSD,20220608,023300,1846.8,1846.8,1846.7,1846.7,4
XAUUSD,20220608,023400,1846.6,1846.8,1846.6,1846.8,4
XAUUSD,20220608,023500,1846.9,1847,1846.9,1847,4
XAUUSD,20220608,023600,1846.9,1847,1846.9,1846.9,4
XAUUSD,20220608,023700,1847,1847,1846.9,1846.9,4
XAUUSD,20220608,023800,1846.9,1847,1846.9,1847,4
XAUUSD,20220608,023900,1846.9,1846.9,1846.8,1846.9,4
XAUUSD,20220608,024000,1847,1847.2,1847,1847.1,4
XAUUSD,20220608,024100,1847.2,1848,1847.2,1847.9,4
XAUUSD,20220608,024200,1848,1848.1,1846.5,1847.1,4
XAUUSD,20220608,024300,1847.2,1848.1,1847.2,1848.1,4
XAUUSD,20220608,024400,1848.2,1848.6,1848.2,1848.4,4
XAUUSD,20220608,024500,1848.3,1848.8,1848,1848.4,4
XAUUSD,20220608,024600,1848.3,1848.3,1847.9,1847.9,4
XAUUSD,20220608,024700,1848,1848,1847.8,1847.8,4
XAUUSD,20220608,024800,1847.7,1847.8,1847.7,1847.8,4
XAUUSD,20220608,024900,1847.7,1847.8,1847.7,1847.7,4
XAUUSD,20220608,025000,1847.8,1847.8,1847.7,1847.7,4
XAUUSD,20220608,025100,1847.8,1847.9,1847.8,1847.8,4
XAUUSD,20220608,025200,1847.9,1848,1847.9,1848,4
XAUUSD,20220608,025300,1847.9,1847.9,1847.9,1847.9,4
XAUUSD,20220608,025400,1847.8,1848.1,1847.8,1848,4
XAUUSD,20220608,025500,1847.9,1848,1847.9,1847.9,4
XAUUSD,20220608,025600,1848,1848.1,1848,1848,4
XAUUSD,20220608,025700,1847.9,1847.9,1847.8,1847.9,4
XAUUSD,20220608,025800,1847.8,1847.8,1847.7,1847.7,4
XAUUSD,20220608,025900,1847.7,1847.7,1847.7,1847.7,4
XAUUSD,20220608,030000,1847.6,1847.6,1847.3,1847.3,4
XAUUSD,20220608,030100,1847.2,1847.2,1846.9,1847.1,4
XAUUSD,20220608,030200,1847.2,1847.3,1847.2,1847.2,4
XAUUSD,20220608,030300,1847.3,1847.3,1847.1,1847.2,4
XAUUSD,20220608,030400,1847.1,1847.2,1847.1,1847.2,4
XAUUSD,20220608,030500,1847.3,1847.3,1847,1847.2,4
XAUUSD,20220608,030600,1847.1,1847.1,1846.9,1846.9,4
XAUUSD,20220608,030700,1846.8,1846.9,1846.7,1846.9,4
XAUUSD,20220608,030800,1847,1847,1846.8,1846.9,4
XAUUSD,20220608,030900,1847,1847.1,1847,1847.1,4
XAUUSD,20220608,031000,1847,1847.2,1847,1847.2,4
XAUUSD,20220608,031100,1847.3,1847.6,1847.3,1847.6,4
XAUUSD,20220608,031200,1847.5,1847.6,1847.3,1847.5,4
XAUUSD,20220608,031300,1847.6,1847.6,1847.4,1847.4,4
XAUUSD,20220608,031400,1847.4,1847.4,1847.3,1847.3,4
XAUUSD,20220608,031500,1847.2,1847.2,1847.1,1847.1,4
XAUUSD,20220608,031600,1847.1,1847.4,1847,1847.4,4
XAUUSD,20220608,031700,1847.5,1847.6,1847.5,1847.6,4
XAUUSD,20220608,031800,1847.7,1847.7,1847.7,1847.7,4
XAUUSD,20220608,031900,1847.7,1847.7,1847.6,1847.6,4
XAUUSD,20220608,032000,1847.6,1847.6,1847.5,1847.5,4
XAUUSD,20220608,032100,1847.5,1847.5,1847.5,1847.5,4
XAUUSD,20220608,032200,1847.6,1847.9,1847.6,1847.9,4
XAUUSD,20220608,032300,1847.8,1847.9,1847.7,1847.7,4
XAUUSD,20220608,032400,1847.7,1847.7,1847.7,1847.7,4
XAUUSD,20220608,032500,1847.8,1847.9,1847.8,1847.8,4
XAUUSD,20220608,032600,1847.7,1847.7,1847.6,1847.6,4
XAUUSD,20220608,032700,1847.6,1847.6,1847.2,1847.2,4
XAUUSD,20220608,032800,1847.1,1847.2,1847.1,1847.1,4
XAUUSD,20220608,032900,1847.2,1847.2,1847.2,1847.2,4
XAUUSD,20220608,033000,1847.2,1847.2,1847.2,1847.2,4
XAUUSD,20220608,033100,1847.3,1847.5,1847.2,1847.3,4
XAUUSD,20220608,033200,1847.4,1847.7,1847.4,1847.7,4
XAUUSD,20220608,033300,1847.8,1847.9,1847.7,1847.9,4
XAUUSD,20220608,033400,1847.8,1848.1,1847.8,1847.9,4
XAUUSD,20220608,033500,1847.8,1847.8,1847.5,1847.5,4
XAUUSD,20220608,033600,1847.6,1847.6,1847.4,1847.4,4
XAUUSD,20220608,033700,1847.5,1847.8,1847.5,1847.8,4
XAUUSD,20220608,033800,1847.9,1848.4,1847.9,1848.3,4
XAUUSD,20220608,033900,1848.2,1848.3,1848.2,1848.2,4
XAUUSD,20220608,034000,1848.3,1848.3,1848.3,1848.3,4
XAUUSD,20220608,034100,1848.3,1848.5,1848.3,1848.5,4
XAUUSD,20220608,034200,1848.4,1848.4,1848.3,1848.3,4
XAUUSD,20220608,034300,1848.2,1848.2,1847.7,1847.9,4
XAUUSD,20220608,034400,1847.9,1847.9,1847.9,1847.9,4
XAUUSD,20220608,034500,1848,1848,1847.6,1847.6,4
XAUUSD,20220608,034600,1847.7,1847.8,1847.7,1847.8,4
XAUUSD,20220608,034700,1847.7,1847.9,1847.7,1847.9,4
XAUUSD,20220608,034800,1847.8,1847.8,1847.8,1847.8,4
XAUUSD,20220608,034900,1847.7,1847.7,1847.5,1847.6,4
XAUUSD,20220608,035000,1847.7,1848.3,1847.7,1848.3,4
XAUUSD,20220608,035100,1848.2,1848.2,1848.1,1848.1,4
XAUUSD,20220608,035200,1848.1,1848.2,1848,1848.2,4
XAUUSD,20220608,035300,1848.1,1848.1,1848,1848.1,4
XAUUSD,20220608,035400,1848.2,1848.2,1848.2,1848.2,4
XAUUSD,20220608,035500,1848.1,1849,1848.1,1848.9,4
XAUUSD,20220608,035600,1849,1849.3,1849,1849.2,4
XAUUSD,20220608,035700,1849.1,1849.3,1849.1,1849.3,4
XAUUSD,20220608,035800,1849.2,1849.2,1849.2,1849.2,4
XAUUSD,20220608,035900,1849.1,1849.2,1849.1,1849.2,4
XAUUSD,20220608,040000,1849.3,1849.3,1849.3,1849.3,4
XAUUSD,20220608,040100,1849.2,1849.3,1849.1,1849.1,4
XAUUSD,20220608,040200,1849,1849.2,1849,1849.2,4
XAUUSD,20220608,040300,1849.3,1849.7,1849.3,1849.5,4
XAUUSD,20220608,040400,1849.6,1850,1849.6,1849.8,4
XAUUSD,20220608,040500,1849.9,1849.9,1849.7,1849.7,4
XAUUSD,20220608,040600,1849.8,1849.8,1849.3,1849.5,4
XAUUSD,20220608,040700,1849.4,1849.5,1849.3,1849.4,4
