ticker,date,time,open,high,low,close,vol
XAUUSD,20220608,040800,1849.5,1849.9,1849.5,1849.6,4
XAUUSD,20220608,040900,1849.7,1849.9,1849.6,1849.7,4
XAUUSD,20220608,041000,1849.8,1849.9,1849.7,1849.7,4
XAUUSD,20220608,041100,1849.6,1850,1849.6,1849.9,4
XAUUSD,20220608,041200,1850,1850,1849.6,1849.6,4
XAUUSD,20220608,041300,1849.7,1849.9,1849.7,1849.8,4
XAUUSD,20220608,041400,1849.9,1849.9,1849.6,1849.8,4
XAUUSD,20220608,041500,1849.7,1849.7,1849.6,1849.6,4
XAUUSD,20220608,041600,1849.5,1849.9,1849.5,1849.9,4
XAUUSD,20220608,041700,1850,1850.1,1849.6,1849.6,4
XAUUSD,20220608,041800,1849.5,1849.7,1849.5,1849.6,4
XAUUSD,20220608,041900,1849.5,1849.6,1849.4,1849.6,4
XAUUSD,20220608,042000,1849.7,1849.8,1849.7,1849.7,4
XAUUSD,20220608,042100,1849.6,1849.7,1849.1,1849.1,4
XAUUSD,20220608,042200,1849,1849.4,1849,1849.3,4
XAUUSD,20220608,042300,1849.4,1849.5,1849.4,1849.4,4
XAUUSD,20220608,042400,1849.3,1849.3,1849.2,1849.2,4
XAUUSD,20220608,042500,1849.1,1849.5,1849.1,1849.5,4
XAUUSD,20220608,042600,1849.6,1849.7,1849.5,1849.5,4
XAUUSD,20220608,042700,1849.6,1849.6,1849.3,1849.3,4
XAUUSD,20220608,042800,1849.4,1849.5,1849.3,1849.5,4
XAUUSD,20220608,042900,1849.6,1849.6,1849.3,1849.4,4
XAUUSD,20220608,043000,1849.3,1849.4,1848.9,1849.2,4
XAUUSD,20220608,043100,1849.3,1849.8,1849.3,1849.8,4
XAUUSD,20220608,043200,1849.7,1849.8,1849.5,1849.5,4
XAUUSD,20220608,043300,1849.4,1849.4,1848.9,1848.9,4
XAUUSD,20220608,043400,1849,1849.1,1848.8,1848.9,4
XAUUSD,20220608,043500,1849,1849,1848.8,1848.9,4
XAUUSD,20220608,043600,1848.9,1848.9,1848.9,1848.9,4
XAUUSD,20220608,043700,1849,1849.3,1849,1849.3,4
XAUUSD,20220608,043800,1849.4,1849.9,1849.4,1849.8,4
XAUUSD,20220608,043900,1849.7,1849.7,1849.3,1849.3,4
XAUUSD,20220608,044000,1849.2,1849.2,1849.1,1849.1,4
XAUUSD,20220608,044100,1849,1849.1,1848.9,1849,4
XAUUSD,20220608,044200,1848.9,1849.1,1848.9,1848.9,4
XAUUSD,20220608,044300,1849,1849,1848.9,1848.9,4
XAUUSD,20220608,044400,1849,1849.1,1848.8,1848.9,4
XAUUSD,20220608,044500,1848.8,1848.9,1848.6,1848.7,4
XAUUSD,20220608,044600,1848.8,1849.3,1848.7,1849.3,4
XAUUSD,20220608,044700,1849.2,1849.6,1849.2,1849.6,4
XAUUSD,20220608,044800,1849.5,1849.5,1849.5,1849.5,4
XAUUSD,20220608,044900,1849.4,1849.5,1849.1,1849.2,4
XAUUSD,20220608,045000,1849.3,1849.4,1849.2,1849.2,4
XAUUSD,20220608,045100,1849.3,1849.3,1849.2,1849.2,4
XAUUSD,20220608,045200,1849.3,1849.3,1849.2,1849.2,4
XAUUSD,20220608,045300,1849.1,1849.4,1849.1,1849.4,4
XAUUSD,20220608,045400,1849.3,1849.5,1849.3,1849.3,4
XAUUSD,20220608,045500,1849.2,1849.2,1849.2,1849.2,4
XAUUSD,20220608,045600,1849.2,1849.6,1849.2,1849.6,4
XAUUSD,20220608,045700,1849.5,1849.6,1849.1,1849.6,4
XAUUSD,20220608,045800,1849.7,1849.8,1849.5,1849.5,4
XAUUSD,20220608,045900,1849.4,1849.5,1849.2,1849.4,4
XAUUSD,20220608,050000,1849.3,1849.4,1849.1,1849.3,4
XAUUSD,20220608,050100,1849.2,1849.4,1849.1,1849.4,4
XAUUSD,20220608,050200,1849.3,1849.3,1848.6,1848.6,4
XAUUSD,20220608,050300,1848.5,1848.7,1848.3,1848.6,4
XAUUSD,20220608,050400,1848.5,1848.8,1848.4,1848.7,4
XAUUSD,20220608,050500,1848.8,1849,1848.8,1849,4
XAUUSD,20220608,050600,1848.9,1849.3,1848.9,1849.3,4
XAUUSD,20220608,050700,1849.2,1849.5,1849.2,1849.4,4
XAUUSD,20220608,050800,1849.3,1849.3,1849.1,1849.3,4
XAUUSD,20220608,050900,1849.2,1849.3,1849,1849,4
XAUUSD,20220608,051000,1848.9,1848.9,1848.4,1848.4,4
XAUUSD,20220608,051100,1848.5,1848.6,1848.3,1848.3,4
XAUUSD,20220608,051200,1848.2,1848.2,1847.8,1847.9,4
XAUUSD,20220608,051300,1848,1848.6,1847.9,1848.5,4
XAUUSD,20220608,051400,1848.6,1848.9,1848.6,1848.8,4
XAUUSD,20220608,051500,1848.9,1848.9,1847.7,1847.7,4
XAUUSD,20220608,051600,1847.6,1847.9,1847.4,1847.6,4
XAUUSD,20220608,051700,1847.5,1847.9,1847.5,1847.7,4
XAUUSD,20220608,051800,1847.8,1847.8,1846.6,1846.7,4
XAUUSD,20220608,051900,1846.8,1847.2,1846.8,1847.1,4
XAUUSD,20220608,052000,1847,1847,1846.9,1847,4
XAUUSD,20220608,052100,1847.1,1847.3,1847,1847,4
XAUUSD,20220608,052200,1846.9,1846.9,1846.6,1846.9,4
XAUUSD,20220608,052300,1847,1847.1,1846.8,1846.9,4
XAUUSD,20220608,052400,1847,1847,1846.5,1846.5,4
XAUUSD,20220608,052500,1846.6,1846.6,1846.3,1846.4,4
XAUUSD,20220608,052600,1846.6,1847,1846.6,1847,4
XAUUSD,20220608,052700,1847.1,1847.3,1847.1,1847.2,4
XAUUSD,20220608,052800,1847.3,1847.7,1847.3,1847.6,4
XAUUSD,20220608,052900,1847.5,1847.7,1847.4,1847.7,4
XAUUSD,20220608,053000,1847.8,1847.9,1847.8,1847.9,4
XAUUSD,20220608,053100,1847.8,1848.4,1847.8,1848.3,4
XAUUSD,20220608,053200,1848.2,1848.2,1847.8,1847.8,4
XAUUSD,20220608,053300,1847.9,1848.1,1847.9,1848,4
XAUUSD,20220608,053400,1847.9,1847.9,1847.7,1847.9,4
XAUUSD,20220608,053500,1848,1848.1,1847.9,1848,4
XAUUSD,20220608,053600,1847.9,1848.4,1847.8,1848.4,4
XAUUSD,20220608,053700,1848.5,1848.5,1848.4,1848.5,4
XAUUSD,20220608,053800,1848.4,1848.6,1848.4,1848.6,4
XAUUSD,20220608,053900,1848.7,1849,1848.7,1848.9,4
XAUUSD,20220608,054000,1849,1849.1,1848.8,1848.9,4
XAUUSD,20220608,054100,1849,1849.3,1849,1849.1,4
XAUUSD,20220608,054200,1849.2,1849.3,1849.1,1849.3,4
XAUUSD,20220608,054300,1849.4,1849.4,1849.2,1849.3,4
XAUUSD,20220608,054400,1849.4,1849.7,1849.4,1849.7,4
XAUUSD,20220608,054500,1849.8,1850.3,1849.7,1850.2,4
XAUUSD,20220608,054600,1850.1,1850.2,1850.1,1850.1,4
XAUUSD,20220608,054700,1850,1850.2,1849.9,1849.9,4
XAUUSD,20220608,054800,1850,1850,1850,1850,4
XAUUSD,20220608,054900,1850.1,1850.3,1849.9,1849.9,4
XAUUSD,20220608,055000,1849.8,1849.8,1849.7,1849.7,4
XAUUSD,20220608,055100,1849.6,1849.7,1849.4,1849.7,4
XAUUSD,20220608,055200,1849.8,1849.9,1849.7,1849.9,4
XAUUSD,20220608,055300,1850.2,1850.8,1850.1,1850.8,4
XAUUSD,20220608,055400,1850.7,1851,1850.1,1850.5,4
XAUUSD,20220608,055500,1850.6,1850.6,1850.3,1850.3,4
XAUUSD,20220608,055600,1850.4,1850.4,1850.3,1850.3,4
XAUUSD,20220608,055700,1850.2,1850.4,1850.1,1850.1,4
XAUUSD,20220608,055800,1850,1850,1849.8,1850,4
XAUUSD,20220608,055900,1850.1,1850.1,1849.8,1849.8,4
XAUUSD,20220608,060000,1849.9,1849.9,1849.6,1849.7,4
XAUUSD,20220608,060100,1849.8,1849.8,1849.6,1849.6,4
XAUUSD,20220608,060200,1849.5,1849.8,1849.5,1849.8,4
XAUUSD,20220608,060300,1849.7,1850.2,1849.7,1850.2,4
XAUUSD,20220608,060400,1850.2,1850.2,1850,1850,4
XAUUSD,20220608,060500,1849.9,1849.9,1849.9,1849.9,4
XAUUSD,20220608,060600,1849.8,1849.8,1849.3,1849.6,4
XAUUSD,20220608,060700,1849.7,1849.7,1849.4,1849.4,4
XAUUSD,20220608,060800,1849.3,1849.3,1849,1849.1,4
XAUUSD,20220608,060900,1849.2,1849.4,1849.1,1849.4,4
XAUUSD,20220608,061000,1849.3,1849.4,1849.3,1849.3,4
XAUUSD,20220608,061100,1849.4,1849.9,1849.4,1849.9,4
XAUUSD,20220608,061200,1849.8,1850,1849.8,1849.9,4
XAUUSD,20220608,061300,1850,1850.1,1849.7,1849.7,4
XAUUSD,20220608,061400,1849.6,1849.6,1849.2,1849.3,4
XAUUSD,20220608,061500,1849.2,1849.3,1849,1849,4
XAUUSD,20220608,061600,1848.9,1848.9,1848.6,1848.6,4
XAUUSD,20220608,061700,1848.5,1848.5,1847.8,1847.8,4
XAUUSD,20220608,061800,1847.9,1847.9,1847.1,1847.1,4
XAUUSD,20220608,061900,1847,1847.7,1847,1847.7,4
XAUUSD,20220608,062000,1847.6,1848.1,1847.6,1848.1,4
XAUUSD,20220608,062100,1848.2,1848.4,1848,1848.2,4
XAUUSD,20220608,062200,1848.1,1848.2,1848.1,1848.2,4
XAUUSD,20220608,062300,1848.3,1848.3,1848.3,1848.3,4
XAUUSD,20220608,062400,1848.4,1848.6,1848.4,1848.6,4
XAUUSD,20220608,062500,1848.5,1848.9,1848.5,1848.9,4
XAUUSD,20220608,062600,1848.9,1848.9,1848.9,1848.9,4
XAUUSD,20220608,062700,1848.8,1848.8,1848.6,1848.6,4
XAUUSD,20220608,062800,1848.5,1848.5,1848.4,1848.5,4
XAUUSD,20220608,062900,1848.4,1848.5,1848.4,1848.5,4
XAUUSD,20220608,063000,1848.4,1848.4,1848.3,1848.4,4
XAUUSD,20220608,063100,1848.3,1848.3,1848,1848.1,4
XAUUSD,20220608,063200,1848,1848,1847.7,1847.8,4
XAUUSD,20220608,063300,1847.7,1847.7,1847.3,1847.4,4
XAUUSD,20220608,063400,1847.5,1847.6,1847.3,1847.3,4
XAUUSD,20220608,063500,1847.2,1847.3,1847.1,1847.3,4
XAUUSD,20220608,063600,1847.2,1847.6,1847.1,1847.5,4
XAUUSD,20220608,063700,1847.4,1847.6,1847.2,1847.6,4
XAUUSD,20220608,063800,1847.5,1848.1,1847.4,1848,4
XAUUSD,20220608,063900,1848.1,1848.3,1848,1848.2,4
XAUUSD,20220608,064000,1848.3,1848.4,1848,1848,4
XAUUSD,20220608,064100,1847.9,1847.9,1847.6,1847.6,4
XAUUSD,20220608,064200,1847.7,1847.7,1847.5,1847.6,4
XAUUSD,20220608,064300,1847.5,1847.5,1847.3,1847.4,4
XAUUSD,20220608,064400,1847.5,1847.7,1847.4,1847.7,4
XAUUSD,20220608,064500,1847.7,1847.7,1847.6,1847.6,4
XAUUSD,20220608,064600,1847.5,1847.8,1847.4,1847.8,4
XAUUSD,20220608,064700,1847.9,1848,1847.9,1848,4
XAUUSD,20220608,064800,1847.9,1848,1847.8,1847.9,4
XAUUSD,20220608,064900,1847.8,1847.8,1847.6,1847.8,4
XAUUSD,20220608,065000,1847.9,1848,1847.7,1847.7,4
XAUUSD,20220608,065100,1847.6,1847.6,1847.3,1847.4,4
XAUUSD,20220608,065200,1847.3,1847.3,1846.7,1846.7,4
XAUUSD,20220608,065300,1846.6,1847,1846.5,1847,4
XAUUSD,20220608,065400,1847.1,1847.2,1846.9,1847.2,4
XAUUSD,20220608,065500,1847.3,1847.4,1847.3,1847.3,4
XAUUSD,20220608,065600,1847.2,1847.2,1846.9,1846.9,4
XAUUSD,20220608,065700,1846.8,1847.1,1846.8,1847.1,4
XAUUSD,20220608,065800,1847,1847.2,1846.8,1847.2,4
XAUUSD,20220608,065900,1847.1,1847.6,1847,1847.6,4
XAUUSD,20220608,070000,1847.5,1847.5,1847.2,1847.2,4
XAUUSD,20220608,070100,1847.1,1847.6,1847.1,1847.6,4
XAUUSD,20220608,070200,1847.7,1848.2,1847.7,1848.2,4
XAUUSD,20220608,070300,1848.3,1848.7,1848.3,1848.6,4
XAUUSD,20220608,070400,1848.5,1848.6,1848.5,1848.5,4
XAUUSD,20220608,070500,1848.4,1848.4,1848.2,1848.2,4
XAUUSD,20220608,070600,1848.1,1848.1,1848,1848,4
XAUUSD,20220608,070700,1847.9,1847.9,1847.6,1847.6,4
XAUUSD,20220608,070800,1847.7,1847.8,1847.7,1847.7,4
XAUUSD,20220608,070900,1847.8,1847.8,1847.7,1847.8,4
XAUUSD,20220608,071000,1847.9,1847.9,1847.8,1847.9,4
XAUUSD,20220608,071100,1847.8,1847.9,1847.8,1847.9,4
XAUUSD,20220608,071200,1847.8,1847.8,1847.7,1847.7,4
XAUUSD,20220608,071300,1847.6,1847.6,1847.3,1847.5,4
XAUUSD,20220608,071400,1847.4,1847.5,1847.4,1847.4,4
XAUUSD,20220608,071500,1847.3,1847.3,1847.2,1847.3,4
XAUUSD,20220608,071600,1847.4,1847.7,1847.4,1847.7,4
XAUUSD,20220608,071700,1847.8,1847.8,1847.7,1847.7,4
XAUUSD,20220608,071800,1847.6,1847.7,1847.5,1847.5,4
XAUUSD,20220608,071900,1847.4,1847.4,1847.3,1847.4,4
XAUUSD,20220608,072000,1847.3,1847.3,1847.1,1847.3,4
XAUUSD,20220608,072100,1847.2,1847.4,1847.1,1847.4,4
XAUUSD,20220608,072200,1847.5,1847.5,1847.5,1847.5,4
XAUUSD,20220608,072300,1847.6,1848,1847.6,1848,4
XAUUSD,20220608,072400,1848.1,1848.1,1848,1848.1,4
XAUUSD,20220608,072500,1848.2,1848.2,1848.1,1848.1,4
XAUUSD,20220608,072600,1848.2,1848.5,1848.2,1848.5,4
XAUUSD,20220608,072700,1848.6,1848.7,1848.5,1848.7,4
XAUUSD,20220608,072800,1848.6,1848.6,1848.6,1848.6,4
XAUUSD,20220608,072900,1848.6,1848.6,1848.5,1848.5,4
XAUUSD,20220608,073000,1848.4,1848.4,1848.2,1848.2,4
XAUUSD,20220608,073100,1848.1,1848.3,1847.7,1848.3,4
XAUUSD,20220608,073200,1848.2,1848.8,1848.2,1848.7,4
XAUUSD,20220608,073300,1848.8,1848.8,1848.7,1848.8,4
XAUUSD,20220608,073400,1848.9,1849,1848.9,1848.9,4
XAUUSD,20220608,073500,1848.9,1848.9,1848.8,1848.8,4
XAUUSD,20220608,073600,1848.9,1848.9,1848.8,1848.9,4
XAUUSD,20220608,073700,1848.8,1849,1848.8,1848.9,4
XAUUSD,20220608,073800,1848.8,1848.8,1848.7,1848.8,4
XAUUSD,20220608,073900,1848.7,1848.9,1848.7,1848.8,4
XAUUSD,20220608,074000,1848.9,1848.9,1848.9,1848.9,4
XAUUSD,20220608,074100,1848.8,1848.9,1848.8,1848.9,4
XAUUSD,20220608,074200,1848.8,1849,1848.7,1849,4
XAUUSD,20220608,074300,1849.1,1849.1,1849,1849,4
XAUUSD,20220608,074400,1848.9,1849,1848.9,1848.9,4
XAUUSD,20220608,074500,1848.8,1849.1,1848.8,1849.1,4
XAUUSD,20220608,074600,1849,1849,1848.8,1848.8,4
XAUUSD,20220608,074700,1848.8,1849,1848.8,1849,4
XAUUSD,20220608,074800,1848.9,1849,1848.9,1849,4
XAUUSD,20220608,074900,1849,1849,1849,1849,4
XAUUSD,20220608,075000,1849.1,1849.3,1849.1,1849.1,4
XAUUSD,20220608,075100,1849.2,1849.2,1849.1,1849.1,4
XAUUSD,20220608,075200,1849,1849.1,1848.8,1848.8,4
XAUUSD,20220608,075300,1848.9,1849.1,1848.9,1849.1,4
XAUUSD,20220608,075400,1849.2,1849.2,1849,1849,4
XAUUSD,20220608,075500,1848.9,1848.9,1848.8,1848.9,4
XAUUSD,20220608,075600,1849,1849.5,1849,1849.5,4
XAUUSD,20220608,075700,1849.4,1849.7,1849.4,1849.6,4
XAUUSD,20220608,075800,1849.7,1849.8,1849.6,1849.6,4
XAUUSD,20220608,075900,1849.5,1849.5,1849.3,1849.3,4
XAUUSD,20220608,080000,1849.2,1849.3,1849.2,1849.2,4
XAUUSD,20220608,080100,1849.3,1849.4,1849.2,1849.2,4
XAUUSD,20220608,080200,1849.3,1849.4,1849.3,1849.3,4
XAUUSD,20220608,080300,1849.4,1849.6,1849.4,1849.6,4
XAUUSD,20220608,080400,1849.7,1850.3,1849.7,1849.8,4
XAUUSD,20220608,080500,1849.7,1850.2,1849.7,1850.2,4
XAUUSD,20220608,080600,1850.3,1850.3,1850,1850.1,4
XAUUSD,20220608,080700,1850.2,1850.4,1850.1,1850.4,4
XAUUSD,20220608,080800,1850.5,1850.7,1850.5,1850.5,4
XAUUSD,20220608,080900,1850.6,1850.8,1850.5,1850.6,4
XAUUSD,20220608,081000,1850.5,1850.7,1850.5,1850.6,4
XAUUSD,20220608,081100,1850.7,1850.8,1850.7,1850.8,4
XAUUSD,20220608,081200,1850.8,1850.9,1850.8,1850.9,4
XAUUSD,20220608,081300,1850.8,1850.8,1850.7,1850.7,4
XAUUSD,20220608,081400,1850.8,1851.1,1850.8,1851,4
XAUUSD,20220608,081500,1850.9,1850.9,1850.7,1850.7,4
XAUUSD,20220608,081600,1850.6,1850.7,1850.5,1850.6,4
XAUUSD,20220608,081700,1850.5,1850.5,1850.4,1850.4,4
XAUUSD,20220608,081800,1850.3,1850.3,1850,1850.1,4